VehicleTask,From,Start,End,To,Distance,VehGrp,Type,Composition & Order,Direction
M009-006/C,RemWhv,5:51;15,9:50;15,RemWhv,131.147,MBOB,Pull-out,"M009-006/A,M009-006/B,M009-006/C",WHV2
M009-006/C,RemWhv,5:51;15,9:50;15,RemWhv,131.147,MBOB,Pull-in,"M009-006/A,M009-006/B,M009-006/C",WHV1
M009-007/A,RemWhv,6:32;30,09:16,RemWhv,88.358,MBOB,Pull-out,"M009-007/A,M009-007/B,M009-007/C",WHV2
M009-007/A,RemWhv,6:32;30,09:16,RemWhv,88.358,MBOB,Pull-in,"M009-007/A,M009-007/B,M009-007/C",WHV1
M009-007/B,RemWhv,6:32;30,09:16,RemWhv,88.358,MBOB,Pull-out,"M009-007/A,M009-007/B,M009-007/C",WHV2
M009-007/B,RemWhv,6:32;30,09:16,RemWhv,88.358,MBOB,Pull-in,"M009-007/A,M009-007/B,M009-007/C",WHV1
M009-007/C,RemWhv,6:32;30,09:16,RemWhv,88.358,MBOB,Pull-out,"M009-007/A,M009-007/B,M009-007/C",WHV2
M009-007/C,RemWhv,6:32;30,09:16,RemWhv,88.358,MBOB,Pull-in,"M009-007/A,M009-007/B,M009-007/C",WHV1
M009-008/A,RemWhv,6:37;45,8:45;45,RemWhv,62.611,MSG3,Pull-out,"M009-008/A,M009-008/B",WHV1
M009-008/A,RemWhv,6:37;45,8:45;45,RemWhv,62.611,MSG3,Pull-in,"M009-008/B,M009-008/A",WHV1
M009-008/B,RemWhv,6:37;45,8:45;45,RemWhv,62.611,MSG3,Pull-out,"M009-008/A,M009-008/B",WHV1
M009-008/B,RemWhv,6:37;45,8:45;45,RemWhv,62.611,MSG3,Pull-in,"M009-008/B,M009-008/A",WHV1
M009-009/A,RemWhv,06:47,19:10,RemWhv,410.68,MSG3,Pull-out,"M009-009/A,M009-009/B",WHV2
M009-009/A,RemWhv,06:47,19:10,RemWhv,410.68,MSG3,Pull-in,"M009-009/B,M009-009/A",WHV2
M009-009/B,RemWhv,06:47,19:10,RemWhv,410.68,MSG3,Pull-out,"M009-009/A,M009-009/B",WHV2
M009-009/B,RemWhv,06:47,19:10,RemWhv,410.68,MSG3,Pull-in,"M009-009/B,M009-009/A",WHV2
M009-010/A,AksP13,06:55,18:26,RemWhv,374.011,MBOB,Pull-out,"M009-010/A,M009-010/B,M009-010/C",AKS
M009-010/A,AksP13,06:55,18:26,RemWhv,374.011,MBOB,Pull-in,"M009-010/C,M009-010/B,M009-010/A",AKS
M009-010/B,AksP13,06:55,18:26,RemWhv,374.011,MBOB,Pull-out,"M009-010/A,M009-010/B,M009-010/C",AKS
M009-010/B,AksP13,06:55,18:26,RemWhv,374.011,MBOB,Pull-in,"M009-010/C,M009-010/B,M009-010/A",AKS
M009-010/C,AksP13,06:55,18:26,RemWhv,374.011,MBOB,Pull-out,"M009-010/A,M009-010/B,M009-010/C",AKS
M009-010/C,AksP13,06:55,18:26,RemWhv,374.011,MBOB,Pull-in,"M009-010/C,M009-010/B,M009-010/A",AKS
M009-011/A,RemWhv,06:57,09:06,RemWhv,62.604,MBOB,Pull-out,"M009-011/A,M009-011/B,M009-011/C",WHV1
M009-011/A,RemWhv,06:57,09:06,RemWhv,62.604,MBOB,Pull-in,"M009-011/C,M009-011/B,M009-011/A",WHV1
M009-011/B,RemWhv,06:57,09:06,RemWhv,62.604,MBOB,Pull-out,"M009-011/A,M009-011/B,M009-011/C",WHV1
M009-011/B,RemWhv,06:57,09:06,RemWhv,62.604,MBOB,Pull-in,"M009-011/C,M009-011/B,M009-011/A",WHV1
M009-011/C,RemWhv,06:57,09:06,RemWhv,62.604,MBOB,Pull-out,"M009-011/A,M009-011/B,M009-011/C",WHV1
M009-011/C,RemWhv,06:57,09:06,RemWhv,62.604,MBOB,Pull-in,"M009-011/C,M009-011/B,M009-011/A",WHV1
M009-012/A,RemWhv,07:02,19:28;15,RemWhv,410.684,MSG3,Pull-out,"M009-012/A,M009-012/B",WHV2
M009-012/A,RemWhv,07:02,19:28;15,RemWhv,410.684,MSG3,Pull-in,"M009-012/B,M009-012/A",WHV2
M009-012/B,RemWhv,07:02,19:28;15,RemWhv,410.684,MSG3,Pull-out,"M009-012/A,M009-012/B",WHV2
M009-012/B,RemWhv,07:02,19:28;15,RemWhv,410.684,MSG3,Pull-in,"M009-012/B,M009-012/A",WHV2
M009-013/A,RemWhv,7:12;30,24:57;30,RemWhv,558.89,MBOB,Pull-out,"M009-013/A,M009-013/B,M009-013/C",WHV2
M009-013/A,RemWhv,7:12;30,24:57;30,RemWhv,558.89,MBOB,Pull-in,"M009-013/A,M009-013/B,M009-013/C",WHV1
M009-013/B,RemWhv,7:12;30,24:57;30,RemWhv,558.89,MBOB,Pull-out,"M009-013/A,M009-013/B,M009-013/C",WHV2
M009-013/B,RemWhv,7:12;30,24:57;30,RemWhv,558.89,MBOB,Pull-in,"M009-013/A,M009-013/B,M009-013/C",WHV1
M009-013/C,RemWhv,7:12;30,24:57;30,RemWhv,558.89,MBOB,Pull-out,"M009-013/A,M009-013/B,M009-013/C",WHV2
M009-013/C,RemWhv,7:12;30,24:57;30,RemWhv,558.89,MBOB,Pull-in,"M009-013/A,M009-013/B,M009-013/C",WHV1
M009-014/A,AksP13,7:15;15,9:40;15,RemWhv,74.573,MBOB,Pull-out,"M009-014/A,M009-014/B,M009-014/C",AKS
M009-014/A,AksP13,7:15;15,9:40;15,RemWhv,74.573,MBOB,Pull-in,"M009-014/C,M009-014/B,M009-014/A",AKS
M009-014/B,AksP13,7:15;15,9:40;15,RemWhv,74.573,MBOB,Pull-out,"M009-014/A,M009-014/B,M009-014/C",AKS
M009-014/B,AksP13,7:15;15,9:40;15,RemWhv,74.573,MBOB,Pull-in,"M009-014/C,M009-014/B,M009-014/A",AKS
M009-014/C,AksP13,7:15;15,9:40;15,RemWhv,74.573,MBOB,Pull-out,"M009-014/A,M009-014/B,M009-014/C",AKS
