VehicleTask,From,Start,End,To,Distance,VehGrp,Type,Composition & Order,Direction
M008-085/B,AksP14,8:01;30,24:51;45,RemGvw,574.087,MBOB,Pull-out,"M008-085/A,M008-085/B,M008-085/C",AKS
M008-085/B,AksP14,8:01;30,24:51;45,RemGvw,574.087,MBOB,Pull-in,"M008-085/C,M008-085/B,M008-085/A",AKS
M008-085/C,AksP14,8:01;30,24:51;45,RemGvw,574.087,MBOB,Pull-out,"M008-085/A,M008-085/B,M008-085/C",AKS
M008-085/C,AksP14,8:01;30,24:51;45,RemGvw,574.087,MBOB,Pull-in,"M008-085/C,M008-085/B,M008-085/A",AKS
M008-086/A,RemGvw,8:03;45,24:21;45,RemGvw,549.377,MBOS,Pull-out,"M008-086/A,M008-086/B,M008-086/C",KLZ2
M008-086/A,RemGvw,8:03;45,24:21;45,RemGvw,549.377,MBOS,Pull-in,"M008-086/A,M008-086/B,M008-086/C",CPB
M008-086/B,RemGvw,8:03;45,24:21;45,RemGvw,549.377,MBOS,Pull-out,"M008-086/A,M008-086/B,M008-086/C",KLZ2
M008-086/B,RemGvw,8:03;45,24:21;45,RemGvw,549.377,MBOS,Pull-in,"M008-086/A,M008-086/B,M008-086/C",CPB
M008-086/C,RemGvw,8:03;45,24:21;45,RemGvw,549.377,MBOS,Pull-out,"M008-086/A,M008-086/B,M008-086/C",KLZ2
M008-086/C,RemGvw,8:03;45,24:21;45,RemGvw,549.377,MBOS,Pull-in,"M008-086/A,M008-086/B,M008-086/C",CPB
M008-087/A,AksP11,8:16;15,25:04;15,RemGvw,573.727,MBOS,Pull-out,"M008-087/A,M008-087/B,M008-087/C",AKS
M008-087/A,AksP11,8:16;15,25:04;15,RemGvw,573.727,MBOS,Pull-in,"M008-087/C,M008-087/B,M008-087/A",AKS
M008-087/B,AksP11,8:16;15,25:04;15,RemGvw,573.727,MBOS,Pull-out,"M008-087/A,M008-087/B,M008-087/C",AKS
M008-087/B,AksP11,8:16;15,25:04;15,RemGvw,573.727,MBOS,Pull-in,"M008-087/C,M008-087/B,M008-087/A",AKS
M008-087/C,AksP11,8:16;15,25:04;15,RemGvw,573.727,MBOS,Pull-out,"M008-087/A,M008-087/B,M008-087/C",AKS
M008-087/C,AksP11,8:16;15,25:04;15,RemGvw,573.727,MBOS,Pull-in,"M008-087/C,M008-087/B,M008-087/A",AKS
M009-001/A,RemWhv,7:19;30,18:32,RemWhv,319.2,MBOB,Pull-out,"M009-001/A,M009-001/B,M009-001/C",WHV1
M009-001/A,RemWhv,7:19;30,18:32,RemWhv,319.2,MBOB,Pull-in,"M009-001/C,M009-001/B,M009-001/A",WHV1
M009-001/B,RemWhv,7:19;30,18:32,RemWhv,319.2,MBOB,Pull-out,"M009-001/A,M009-001/B,M009-001/C",WHV1
M009-001/B,RemWhv,7:19;30,18:32,RemWhv,319.2,MBOB,Pull-in,"M009-001/C,M009-001/B,M009-001/A",WHV1
M009-001/C,RemWhv,7:19;30,18:32,RemWhv,319.2,MBOB,Pull-out,"M009-001/A,M009-001/B,M009-001/C",WHV1
M009-001/C,RemWhv,7:19;30,18:32,RemWhv,319.2,MBOB,Pull-in,"M009-001/C,M009-001/B,M009-001/A",WHV1
M009-002/A,RemWhv,7:34;30,20:58;15,RemWhv,384.833,MBOB,Pull-out,"M009-002/A,M009-002/B,M009-002/C",WHV1
M009-002/A,RemWhv,7:34;30,20:58;15,RemWhv,384.833,MBOB,Pull-in,"M009-002/A,M009-002/B,M009-002/C",WHV2
M009-002/B,RemWhv,7:34;30,20:58;15,RemWhv,384.833,MBOB,Pull-out,"M009-002/A,M009-002/B,M009-002/C",WHV1
M009-002/B,RemWhv,7:34;30,20:58;15,RemWhv,384.833,MBOB,Pull-in,"M009-002/A,M009-002/B,M009-002/C",WHV2
M009-002/C,RemWhv,7:34;30,20:58;15,RemWhv,384.833,MBOB,Pull-out,"M009-002/A,M009-002/B,M009-002/C",WHV1
M009-002/C,RemWhv,7:34;30,20:58;15,RemWhv,384.833,MBOB,Pull-in,"M009-002/A,M009-002/B,M009-002/C",WHV2
M009-003/A,RemWhv,7:36;30,24:57,RemWhv,488.258,MSG3,Pull-out,"M009-003/A,M009-003/B",WHV2
M009-003/A,RemWhv,7:36;30,24:57,RemWhv,488.258,MSG3,Pull-in,M009-003/A,WHV1
M009-003/B,RemWhv,7:36;30,25:14;45,RemWhv,510.38,MSG3,Pull-out,"M009-003/A,M009-003/B",WHV2
M009-003/B,RemWhv,7:36;30,25:14;45,RemWhv,510.38,MSG3,Pull-in,"M009-003/B,M009-008/B",WHV2
M009-004/A,RemWhv,7:49;30,25:10,RemWhv,490.305,MSG3,Pull-out,"M009-004/A,M009-004/B",WHV1
M009-004/A,RemWhv,7:49;30,25:10,RemWhv,490.305,MSG3,Pull-in,M009-004/A,WHV1
M009-004/B,RemWhv,7:49;30,24:44;45,RemWhv,471.129,MSG3,Pull-out,"M009-004/A,M009-004/B",WHV1
M009-004/B,RemWhv,7:49;30,24:44;45,RemWhv,471.129,MSG3,Pull-in,"M009-008/A,M009-004/B",WHV2
