VehicleTask,From,Start,End,To,Distance,VehGrp,Type,Composition & Order,Direction
M008-090/B,AksP14,7:06;45,25:04;15,RemGvw,634.057,MBOB,Pull-in,"M008-090/C,M008-090/B,M008-090/A",AKS
M008-090/C,AksP14,7:06;45,25:04;15,RemGvw,634.057,MBOB,Pull-out,"M008-090/A,M008-090/B,M008-090/C",AKS
M008-090/C,AksP14,7:06;45,25:04;15,RemGvw,634.057,MBOB,Pull-in,"M008-090/C,M008-090/B,M008-090/A",AKS
M009-001/A,RemWhv,5:13;30,8:56,RemWhv,105.371,MBOB,Pull-out,"M009-001/A,M009-001/B,M009-001/C",WHV1
M009-001/A,RemWhv,5:13;30,8:56,RemWhv,105.371,MBOB,Pull-in,"M009-001/C,M009-001/B,M009-001/A",WHV1
M009-001/B,RemWhv,5:13;30,8:56,RemWhv,105.371,MBOB,Pull-out,"M009-001/A,M009-001/B,M009-001/C",WHV1
M009-001/B,RemWhv,5:13;30,8:56,RemWhv,105.371,MBOB,Pull-in,"M009-001/C,M009-001/B,M009-001/A",WHV1
M009-001/C,RemWhv,5:13;30,8:56,RemWhv,105.371,MBOB,Pull-out,"M009-001/A,M009-001/B,M009-001/C",WHV1
M009-001/C,RemWhv,5:13;30,8:56,RemWhv,105.371,MBOB,Pull-in,"M009-001/C,M009-001/B,M009-001/A",WHV1
M009-002/A,RemWhv,5:26;30,21:15;15,AksP13,502.417,MBOB,Pull-out,"M009-002/A,M009-002/B,M009-002/C",WHV1
M009-002/A,RemWhv,5:26;30,21:15;15,AksP13,502.417,MBOB,Pull-in,"M009-002/C,M009-002/B,M009-002/A",WHV1
M009-002/B,RemWhv,5:26;30,21:15;15,AksP13,502.417,MBOB,Pull-out,"M009-002/A,M009-002/B,M009-002/C",WHV1
M009-002/B,RemWhv,5:26;30,21:15;15,AksP13,502.417,MBOB,Pull-in,"M009-002/C,M009-002/B,M009-002/A",WHV1
M009-002/C,RemWhv,5:26;30,21:15;15,AksP13,502.417,MBOB,Pull-out,"M009-002/A,M009-002/B,M009-002/C",WHV1
M009-002/C,RemWhv,5:26;30,21:15;15,AksP13,502.417,MBOB,Pull-in,"M009-002/C,M009-002/B,M009-002/A",WHV1
M009-003/A,RemWhv,5:36,24:57;30,RemWhv,602.419,MSG3,Pull-out,"M009-003/A,M009-003/B",WHV2
M009-003/A,RemWhv,5:36,24:57;30,RemWhv,602.419,MSG3,Pull-in,M009-003/A,WHV1
M009-003/B,RemWhv,5:36,25:14;45,RemWhv,624.541,MSG3,Pull-out,"M009-003/A,M009-003/B",WHV2
M009-003/B,RemWhv,5:36,25:14;45,RemWhv,624.541,MSG3,Pull-in,"M009-003/B,M009-005/B",WHV2
M009-004/A,AksP13,5:40,9:26,RemWhv,117.362,MBOB,Pull-out,"M009-004/A,M009-004/B,M009-004/C",AKS
M009-004/A,AksP13,5:40,9:26,RemWhv,117.362,MBOB,Pull-in,"M009-004/C,M009-004/B,M009-004/A",AKS
M009-004/B,AksP13,5:40,9:26,RemWhv,117.362,MBOB,Pull-out,"M009-004/A,M009-004/B,M009-004/C",AKS
M009-004/B,AksP13,5:40,9:26,RemWhv,117.362,MBOB,Pull-in,"M009-004/C,M009-004/B,M009-004/A",AKS
M009-004/C,AksP13,5:40,9:26,RemWhv,117.362,MBOB,Pull-out,"M009-004/A,M009-004/B,M009-004/C",AKS
M009-004/C,AksP13,5:40,9:26,RemWhv,117.362,MBOB,Pull-in,"M009-004/C,M009-004/B,M009-004/A",AKS
M009-005/A,RemWhv,5:43;30,24:44;45,RemWhv,598.823,MSG3,Pull-out,"M009-005/A,M009-005/B",WHV1
M009-005/A,RemWhv,5:43;30,24:44;45,RemWhv,598.823,MSG3,Pull-in,"M009-005/A,M009-022/B",WHV2
M009-005/B,RemWhv,5:43;30,25:14;45,RemWhv,599.563,MSG3,Pull-out,"M009-005/A,M009-005/B",WHV1
M009-005/B,RemWhv,5:43;30,25:14;45,RemWhv,599.563,MSG3,Pull-in,"M009-003/B,M009-005/B",WHV2
